epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,711.68,1.97312,2.49306,1.36144,0.46872,0.24686,0.16848,0.05068,2.22473,2.19781,1.49879,0.000330709,0.000330709,0.0672598
2,1050.39,1.80772,1.82638,1.28181,0.58436,0.34223,0.30314,0.12124,1.92503,1.90672,1.3028,0.000662241,0.000662241,0.034258
3,1651.36,1.76993,1.69192,1.25422,0.52895,0.31217,0.23981,0.08351,2.19401,1.80538,1.3962,0.000986587,0.000986587,0.00124905
4,1891.74,1.73316,1.61382,1.23823,0.65396,0.37749,0.36486,0.14516,1.96787,1.68124,1.30953,0.000975773,0.000975773,0.000975773
5,2231.9,1.71067,1.5754,1.2188,0.67394,0.40494,0.40935,0.18047,1.7854,1.50049,1.21898,0.000957205,0.000957205,0.000957205
6,2536.84,1.68845,1.52606,1.22444,0.67765,0.41424,0.42903,0.18812,1.82013,1.46192,1.25784,0.000933683,0.000933683,0.000933683
7,2750.36,1.66443,1.48792,1.20622,0.68188,0.40368,0.40499,0.16622,1.88214,1.64259,1.30427,0.000905463,0.000905463,0.000905463
8,2962.52,1.6493,1.46269,1.19971,0.6182,0.41003,0.39654,0.15033,1.99994,1.58263,1.32479,0.000872857,0.000872857,0.000872857
9,3274.09,1.63218,1.45276,1.18219,0.72179,0.42395,0.45825,0.20156,1.75705,1.46317,1.1835,0.00083622,0.00083622,0.00083622
10,3497.02,1.63238,1.39182,1.17628,0.74829,0.4395,0.48859,0.21144,1.84513,1.38481,1.21838,0.000795954,0.000795954,0.000795954
11,3732.91,1.60388,1.37153,1.16163,0.7168,0.42633,0.47178,0.19807,1.81009,1.53812,1.2387,0.0007525,0.0007525,0.0007525
12,4086.29,1.59406,1.33822,1.15345,0.79298,0.47553,0.5303,0.25107,1.71231,1.2462,1.16815,0.000706335,0.000706335,0.000706335
13,4563.5,1.58046,1.31043,1.14809,0.75197,0.47043,0.52121,0.2516,1.65392,1.26074,1.13806,0.000657963,0.000657963,0.000657963
14,4892.14,1.58159,1.30899,1.15949,0.7435,0.47557,0.53563,0.26486,1.61931,1.28056,1.12672,0.000607916,0.000607916,0.000607916
15,5295.32,1.57385,1.24805,1.1434,0.81443,0.50974,0.55615,0.26375,1.71272,1.19103,1.18031,0.000556742,0.000556742,0.000556742
16,5573.56,1.54993,1.23521,1.13686,0.84277,0.50899,0.57579,0.27374,1.67378,1.12252,1.15077,0.000505,0.000505,0.000505
17,5830.25,1.54779,1.22148,1.12782,0.81177,0.51682,0.58561,0.29985,1.5724,1.17434,1.10031,0.000453258,0.000453258,0.000453258
18,6143.07,1.53489,1.20374,1.12292,0.85223,0.51845,0.58241,0.28656,1.63595,1.08171,1.12488,0.000402084,0.000402084,0.000402084
19,6440.89,1.50848,1.16299,1.12084,0.84304,0.51788,0.58308,0.28712,1.63769,1.09098,1.11538,0.000352037,0.000352037,0.000352037
20,6790.3,1.50885,1.1664,1.11036,0.8321,0.54141,0.60956,0.30584,1.58833,1.09756,1.09781,0.000303665,0.000303665,0.000303665
21,7458.83,1.45748,1.1313,1.10258,0.85512,0.53623,0.60615,0.30751,1.61031,1.07305,1.11618,0.0002575,0.0002575,0.0002575
22,7843.11,1.44841,1.09941,1.10394,0.84455,0.56366,0.61173,0.30532,1.58335,1.07684,1.09922,0.000214046,0.000214046,0.000214046
23,8154.79,1.43401,1.06623,1.09733,0.87274,0.54803,0.62432,0.32034,1.58076,1.01705,1.0924,0.00017378,0.00017378,0.00017378
24,8422.35,1.42953,1.06612,1.09329,0.87241,0.55262,0.62411,0.32857,1.52661,1.01451,1.0714,0.000137143,0.000137143,0.000137143
25,8640.46,1.41703,1.02815,1.08493,0.87373,0.55318,0.63122,0.33026,1.55459,1.0012,1.08478,0.000104537,0.000104537,0.000104537
26,8875.69,1.41404,1.01665,1.0805,0.86366,0.56146,0.64227,0.33736,1.53071,1.00404,1.07679,7.63174e-05,7.63174e-05,7.63174e-05
27,9099.94,1.40703,1.01835,1.088,0.87663,0.5596,0.6345,0.33613,1.53338,0.9794,1.07473,5.2795e-05,5.2795e-05,5.2795e-05
28,9365.91,1.39781,1.00671,1.08115,0.85797,0.57555,0.63878,0.34423,1.50733,0.96815,1.06637,3.4227e-05,3.4227e-05,3.4227e-05
29,9625,1.40093,1.00205,1.08076,0.86822,0.57105,0.6393,0.34405,1.50601,0.97338,1.06476,2.08169e-05,2.08169e-05,2.08169e-05
30,9889.74,1.41265,1.00685,1.08749,0.86068,0.57257,0.63864,0.33982,1.52622,0.97901,1.07166,1.27117e-05,1.27117e-05,1.27117e-05
