epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1302.99,1.8847,1.2099,0.97678,0.705,0.51625,0.56294,0.29152,2.51211,1.61847,0.9328,0.000399308,0.000399308,0.000572318
2,2920.83,1.8712,1.15778,0.9581,0.82028,0.50385,0.5671,0.27482,2.39205,1.54781,0.92595,0.00039939,0.00039939,0.00039939
3,3816.08,1.86144,1.1411,0.95668,0.72794,0.54958,0.61301,0.31086,2.30568,1.50684,0.91339,0.000397562,0.000397562,0.000397562
4,4493.88,1.84341,1.13579,0.95553,0.78431,0.49134,0.5916,0.29524,2.47465,1.58294,0.94042,0.000394529,0.000394529,0.000394529
5,6330.74,1.86197,1.13935,0.95272,0.80158,0.50414,0.63071,0.33331,2.37728,1.51634,0.91714,0.000390309,0.000390309,0.000390309
6,7423.98,1.8558,1.13117,0.9525,0.8122,0.48772,0.56314,0.29186,2.47397,1.58735,0.9364,0.000384928,0.000384928,0.000384928
7,8098.88,1.85104,1.12317,0.95208,0.81483,0.51214,0.60371,0.31479,2.31623,1.51705,0.91028,0.000378419,0.000378419,0.000378419
8,8798.53,1.84369,1.11777,0.94701,0.81071,0.54881,0.63808,0.3211,2.38276,1.54986,0.92249,0.000370823,0.000370823,0.000370823
9,9417.07,1.84746,1.11186,0.94856,0.75124,0.5122,0.62159,0.33207,2.42564,1.59152,0.92948,0.000362185,0.000362185,0.000362185
10,10273.1,1.83664,1.11332,0.94681,0.80136,0.50979,0.65787,0.34757,2.28753,1.50194,0.9122,0.00035256,0.00035256,0.00035256
11,11169.9,1.84946,1.11823,0.95005,0.68788,0.59044,0.64134,0.34066,2.49687,1.55828,0.93725,0.000342007,0.000342007,0.000342007
12,12217.5,1.84048,1.10964,0.9496,0.79569,0.5599,0.60589,0.30867,2.32317,1.50515,0.91716,0.000330591,0.000330591,0.000330591
13,13082.2,1.85421,1.11392,0.94836,0.77702,0.58172,0.65658,0.33243,2.30916,1.53115,0.91445,0.000318381,0.000318381,0.000318381
14,13700.3,1.83262,1.092,0.94809,0.79036,0.48955,0.56299,0.2554,2.45347,1.60536,0.93843,0.000305455,0.000305455,0.000305455
15,14303.2,1.83821,1.09376,0.94306,0.69413,0.59489,0.61182,0.30612,2.48424,1.55179,0.93507,0.00029189,0.00029189,0.00029189
16,14906.7,1.84658,1.10472,0.95037,0.76767,0.60995,0.66856,0.36165,2.36096,1.52304,0.9217,0.000277771,0.000277771,0.000277771
17,15511.3,1.8344,1.0907,0.94972,0.77705,0.56763,0.67221,0.36033,2.33812,1.50076,0.91447,0.000263185,0.000263185,0.000263185
18,16127.2,1.85893,1.11028,0.94287,0.76055,0.56274,0.648,0.3636,2.37545,1.53858,0.91993,0.000248222,0.000248222,0.000248222
19,16726.4,1.83462,1.09036,0.94718,0.71219,0.59231,0.64719,0.35534,2.44589,1.54176,0.92961,0.000232974,0.000232974,0.000232974
20,17333.6,1.83293,1.0898,0.94865,0.78998,0.55407,0.62106,0.32799,2.43463,1.57193,0.92668,0.000217535,0.000217535,0.000217535
21,17940.5,1.82878,1.08565,0.94773,0.61782,0.6129,0.61859,0.31088,2.41504,1.55436,0.92344,0.000202,0.000202,0.000202
22,18539.7,1.82224,1.07943,0.94529,0.72082,0.57762,0.6308,0.35128,2.40971,1.54637,0.92356,0.000186465,0.000186465,0.000186465
23,19149,1.82962,1.07954,0.94431,0.73803,0.61766,0.66559,0.36891,2.33966,1.49711,0.9104,0.000171026,0.000171026,0.000171026
24,19757.3,1.82082,1.07916,0.94245,0.73934,0.54874,0.62994,0.32918,2.39643,1.51204,0.92454,0.000155778,0.000155778,0.000155778
25,20365.6,1.8188,1.06955,0.9381,0.77089,0.64242,0.68364,0.37446,2.31015,1.46228,0.909,0.000140815,0.000140815,0.000140815
26,20967.8,1.81229,1.06124,0.94041,0.65468,0.65236,0.65502,0.36125,2.37012,1.50086,0.91708,0.000126229,0.000126229,0.000126229
27,21580.9,1.80831,1.0626,0.94077,0.69176,0.6393,0.67813,0.36999,2.35619,1.50825,0.91687,0.00011211,0.00011211,0.00011211
