epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,22186.4,1.80051,1.05086,0.93995,0.77243,0.60779,0.66558,0.36787,2.30892,1.4732,0.90635,9.85453e-05,9.85453e-05,9.85453e-05
29,22783.3,1.80372,1.05422,0.93656,0.76037,0.63569,0.68284,0.37848,2.4095,1.52028,0.91956,8.56185e-05,8.56185e-05,8.56185e-05
30,23387.7,1.79113,1.04234,0.93915,0.75256,0.60865,0.66829,0.36471,2.34284,1.47222,0.91107,7.34093e-05,7.34093e-05,7.34093e-05
31,23966.3,1.7656,1.03562,0.95122,0.79742,0.57735,0.65137,0.36021,2.32269,1.47635,0.91006,6.19929e-05,6.19929e-05,6.19929e-05
32,24552.4,1.75307,1.01993,0.94754,0.7624,0.5765,0.65693,0.35901,2.31985,1.47397,0.90954,5.14396e-05,5.14396e-05,5.14396e-05
33,25241.9,1.75367,1.01091,0.94674,0.7879,0.62727,0.66774,0.37079,2.32389,1.48088,0.91063,4.18146e-05,4.18146e-05,4.18146e-05
34,25835.8,1.75274,1.00838,0.94658,0.78664,0.63009,0.67333,0.36787,2.32211,1.4799,0.90964,3.31772e-05,3.31772e-05,3.31772e-05
35,26423.9,1.74669,1.00892,0.94608,0.7738,0.62869,0.67871,0.37086,2.32638,1.46813,0.9109,2.55807e-05,2.55807e-05,2.55807e-05
36,27004.9,1.73834,0.99747,0.94447,0.77764,0.62152,0.67798,0.36583,2.34721,1.47857,0.91382,1.90719e-05,1.90719e-05,1.90719e-05
37,27586.2,1.752,1.00813,0.94727,0.73622,0.62957,0.67578,0.37068,2.32167,1.46296,0.90877,1.36908e-05,1.36908e-05,1.36908e-05
38,28167.5,1.73944,0.99816,0.94237,0.65937,0.67724,0.67789,0.37038,2.31683,1.46238,0.90858,9.47076e-06,9.47076e-06,9.47076e-06
39,28782.4,1.73969,0.99477,0.94713,0.76383,0.58672,0.67189,0.36955,2.32096,1.46558,0.90976,6.43771e-06,6.43771e-06,6.43771e-06
40,29370.4,1.73539,0.99382,0.94531,0.74548,0.6197,0.67715,0.37233,2.31841,1.4626,0.90905,4.61037e-06,4.61037e-06,4.61037e-06
