epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1352.9,2.74582,2.67774,2.53141,0.49587,0.19587,0.14601,0.03942,2.68371,2.70489,2.29252,0.00033235,0.00033235,0.0670973
2,1699.06,2.137,2.13609,2.00471,0.22491,0.28408,0.20068,0.06595,2.31534,2.22625,2.00614,0.000663878,0.000663878,0.0340955
3,2035.86,1.98629,2.01551,1.85338,0.47074,0.3121,0.20857,0.06089,2.34919,2.15269,1.94182,0.00098821,0.00098821,0.00108654
4,2376.69,1.90912,1.94694,1.77445,0.50618,0.29308,0.24899,0.07308,2.3148,2.10842,1.92139,0.000975773,0.000975773,0.000975773
5,2728.6,1.87175,1.88863,1.73376,0.57331,0.32769,0.28981,0.09579,2.13694,1.9911,1.82619,0.000957205,0.000957205,0.000957205
6,3082.03,1.81279,1.7988,1.70857,0.5402,0.34505,0.27656,0.09232,2.20508,2.02834,1.84827,0.000933683,0.000933683,0.000933683
7,3422.16,1.80695,1.77328,1.67819,0.57879,0.35936,0.31973,0.11425,2.06752,1.80939,1.75305,0.000905463,0.000905463,0.000905463
8,3763.95,1.77308,1.74335,1.65525,0.57124,0.33169,0.30593,0.10744,2.074,1.8237,1.75352,0.000872857,0.000872857,0.000872857
9,4099.68,1.75319,1.68551,1.62777,0.59112,0.37815,0.33998,0.12923,1.92018,1.74637,1.6795,0.00083622,0.00083622,0.00083622
10,4442.59,1.73745,1.65683,1.61529,0.65079,0.40173,0.39468,0.1398,1.96538,1.74453,1.67495,0.000795954,0.000795954,0.000795954
11,4780.3,1.71788,1.64566,1.6023,0.643,0.3926,0.37018,0.1422,1.94136,1.67732,1.6853,0.0007525,0.0007525,0.0007525
12,5356.71,1.71391,1.59954,1.60219,0.67645,0.38814,0.40156,0.15095,1.9429,1.6286,1.67611,0.000706335,0.000706335,0.000706335
13,6212.12,1.70356,1.58317,1.58403,0.68501,0.4007,0.42584,0.17207,1.90068,1.58247,1.63757,0.000657963,0.000657963,0.000657963
14,6773.47,1.69059,1.58098,1.59116,0.67612,0.43506,0.44655,0.17888,1.88685,1.59377,1.61099,0.000607916,0.000607916,0.000607916
15,7410.17,1.68234,1.54906,1.56581,0.67276,0.4488,0.45461,0.1839,1.81425,1.54388,1.57285,0.000556742,0.000556742,0.000556742
16,7897.06,1.66696,1.5168,1.56835,0.69071,0.41841,0.43919,0.18484,1.84651,1.51505,1.6051,0.000505,0.000505,0.000505
17,8372.16,1.65503,1.46962,1.55638,0.72731,0.44073,0.4607,0.18212,1.89543,1.51595,1.62211,0.000453258,0.000453258,0.000453258
18,8845.1,1.64264,1.47654,1.54669,0.73576,0.4447,0.47239,0.18834,1.83502,1.5105,1.5857,0.000402084,0.000402084,0.000402084
19,9296.63,1.62406,1.44291,1.53247,0.73382,0.45809,0.48587,0.19719,1.82376,1.48867,1.58981,0.000352037,0.000352037,0.000352037
20,9786.69,1.62125,1.43854,1.53483,0.7691,0.48351,0.53162,0.24698,1.71235,1.35565,1.49964,0.000303665,0.000303665,0.000303665
21,10251.8,1.56305,1.38899,1.52316,0.77889,0.48024,0.54836,0.25171,1.73289,1.37395,1.51667,0.0002575,0.0002575,0.0002575
22,10706.6,1.54876,1.34116,1.52084,0.78371,0.49648,0.53773,0.24009,1.72172,1.35344,1.50543,0.000214046,0.000214046,0.000214046
23,11542.6,1.53637,1.30404,1.51137,0.78492,0.50478,0.54729,0.25103,1.71127,1.35132,1.50401,0.00017378,0.00017378,0.00017378
24,11869.8,1.53386,1.29368,1.50533,0.79166,0.51433,0.56309,0.27052,1.67025,1.30253,1.46733,0.000137143,0.000137143,0.000137143
25,12186,1.52745,1.27277,1.48887,0.80755,0.52792,0.56808,0.26675,1.71681,1.27312,1.48824,0.000104537,0.000104537,0.000104537
26,12500.2,1.51801,1.25004,1.4789,0.80391,0.52411,0.56712,0.26756,1.68071,1.27042,1.47312,7.63174e-05,7.63174e-05,7.63174e-05
27,12859.4,1.51443,1.23642,1.47699,0.81432,0.51319,0.56956,0.26494,1.69442,1.26046,1.47718,5.2795e-05,5.2795e-05,5.2795e-05
28,13254.8,1.51711,1.23553,1.48257,0.80573,0.51946,0.57656,0.27806,1.67087,1.24723,1.46349,3.4227e-05,3.4227e-05,3.4227e-05
29,13668.6,1.50753,1.22532,1.47242,0.81309,0.52448,0.588,0.28782,1.64817,1.23589,1.45042,2.08169e-05,2.08169e-05,2.08169e-05
30,14085.2,1.52159,1.22978,1.48904,0.80842,0.53057,0.58081,0.27889,1.66839,1.23476,1.4604,1.27117e-05,1.27117e-05,1.27117e-05
