epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9740.81,3.75562,3.36605,1.24948,0.01169,0.17983,0.00372,0.00061,4.05071,3.69443,1.22663,0.000332248,0.000332248,0.0671075
2,13301.1,3.63647,3.17111,1.19335,0.00869,0.2207,0.00522,0.00084,3.94589,3.30972,1.22252,0.000662983,0.000662983,0.0341049
3,18425.3,3.60505,3.13706,1.19295,0.00816,0.23892,0.00379,0.00062,3.9907,4.33589,1.21368,0.00098338,0.00098338,0.00109196
4,21024.6,3.57114,3.10516,1.1784,0.01039,0.23804,0.00594,0.00102,3.8745,3.39327,1.19374,0.000965239,0.000965239,0.000965239
5,22633.1,3.56181,3.07146,1.17688,0.01588,0.21532,0.00722,0.00118,3.85589,3.39702,1.18222,0.000938772,0.000938772,0.000938772
6,23782.4,3.54779,3.06342,1.16837,0.00917,0.26333,0.00727,0.0012,3.93715,3.34296,1.2008,0.000905463,0.000905463,0.000905463
7,28463.3,3.53699,3.0431,1.16463,0.017,0.17775,0.00611,0.00098,4.18605,3.75187,1.25198,0.000865839,0.000865839,0.000865839
